Tabel 4		
	(1)	(2)
VARIABLES	Replies 1	Replies 4
		
female	1.000	17,288.000
female	1.013	0.484
female	0.000	0.500
female	0.000	0.000
female	0.000	
female	-0.115	
female	0.249	1.000
female	8,766.000	17,288.000
female	0.000	0.250
female	1.000	0.063
female	0.000	1.004
female	0.000	8,372.000
female	1.000	0.000
female	0.000	
female	0.000	0.000
female	4,634.000	
female	0.000	0.000
female	1.000	0.000
female	1.000	
female	1.000	
female	0.000	0.000
female	0.000	1.000
female	0.000	
female	0.529	
female	0.000	1.000
female	0.000	1.000
female	0.499	1.000
female	8,766.000	
age	44.000	17,288.000
age	71.613	44.104
age	8.462	7.845
age	59.000	25.000
age	59.000	59.000
age	8,766.000	17,288.000
age	26.000	61.549
age	8,766.000	-0.035
age	57.000	
age	8,766.000	2.194
age	8,766.000	762,463.000
age	8,766.000	
age	25.000	
age	8,766.000	28.000
age	43.644	
age	8,766.000	31.000
age	30.000	
age	50.000	
age	2.138	34.000
age	32.000	38.000
age	8,766.000	44.000
age	8,766.000	50.000
age	8,766.000	55.000
age	55.000	57.000
age	37.000	
age	382,586.000	
age	-0.071	
age	8,766.000	59.000
edu	8,766.000	17,288.000
edu	4.000	2.983
edu	1.048	1.031
edu	2.000	
edu	4.000	1.000
edu	1.539	4.000
edu	4.000	17,288.000
edu	4.000	
edu	8,766.000	
edu	4.000	1.062
edu	3.000	-0.312
edu	2.803	
edu	4.000	1.591
edu	4.000	51,564.000
edu	1.099	1.000
edu	4.000	1.000
edu	4.000	2.000
edu	1.000	2.000
edu	1.000	
edu	4.000	3.000
edu	24,574.000	
edu	2.000	4.000
edu	4.000	4.000
edu	4.000	4.000
edu	-0.043	
edu	4.000	
edu	4.000	4.000
edu	1.000	
hours	235.188	16,536.000
hours	235.188	37.302
hours	55.000	
hours	3.147	14.034
hours	8.000	0.000
hours	235.188	60.000
hours	29.000	
hours	235.188	16,536.000
hours	235.188	196.959
hours	15.336	-1.056
hours	235.188	3.951
hours	60.000	616,831.000
hours	235.188	0.000
hours	8,389.000	
hours	290,199.000	
hours	235.188	2.000
hours	0.000	
hours	8,389.000	16.000
hours	0.000	
hours	60.000	32.000
hours	-0.869	
hours	0.000	40.000
hours	50.000	45.000
hours	235.188	50.000
hours	34.593	
hours	40.000	57.000
hours	42.000	
hours	235.188	60.000
		
